variable_key,variable_label,pooled_ols_coef,pooled_ols_se,pooled_ols_ci_low,pooled_ols_ci_high,twoway_fe_coef,twoway_fe_se,twoway_fe_ci_low,twoway_fe_ci_high,glm_poisson_coef,glm_poisson_se,glm_poisson_ci_low,glm_poisson_ci_high
dem_origin_x_dest,Origin × destination Dem share (pooled OLS interaction),16.264869326361243,3.1680294523851886,10.055645697724124,22.474092954998362,,,,,,,,
abs_diff_dem,Absolute difference in Dem two-party share (FE / GLM),,,,,-1.2135902446529445,0.8099153694594392,-2.800995199318897,0.37381471001300803,-0.06522543976976913,0.009714409171557754,-0.08426533187710791,-0.046185547662430354
dest_more_dem,Indicator: destination more Democratic than origin,,,,,-0.4016349616069732,0.15875661778514774,-0.7127922147732537,-0.09047770844069264,0.08764352477611181,0.015689123125358327,0.056893408501395,0.11839364105082863
dyadic_housing_gap,ML dyadic housing gap (dest pred − origin pred),-1.6220655060404942e-07,2.406350772977282e-07,-6.338426355246087e-07,3.094295343165099e-07,5.988279801779296e-07,5.191008334991751e-07,-4.18590957825177e-07,1.6162469181810362e-06,0.24935929606577334,0.011330528278183757,0.22715186871472054,0.27156672341682614
dyadic_affordability_gap,ML dyadic affordability gap,2.2755235580799535,15.751019319690172,-28.59590702830737,33.14695414446727,-0.02963530620370607,0.004596752786073898,-0.03864477611024506,-0.020625836297167077,-0.058131977321693284,0.011428188891727661,-0.08053081595800021,-0.035733138685386356
log_distance_km,log(1 + distance km),-1.238378873960832,0.16187143863108744,-1.5556410638034488,-0.921116684118215,0.194172416309826,0.01554769276142035,0.16369949845474802,0.224645334164904,-0.9772038607362912,0.001627725088007631,-0.9803941432855184,-0.9740135781870639
log_o_population,log(1 + origin population),0.8976290887806835,0.0866712208983919,0.7277566173237201,1.067501560237647,,,,,,,,
log_d_population,log(1 + destination population),0.7398635819674496,0.08882178970424158,0.5657760731047455,0.9139510908301537,,,,,0.7141506644281252,0.0054809815805916305,0.7034081379302383,0.7248931909260122
