null_deviance,deviance,aic,nobs,error,backend,pipeline_ok,mae,rmse,split,error_ml
41349.02787015968,10816.325400783267,13169.522852721671,389,,hist_gbrt,True,51504.36580761522,71383.1246959729,holdout_0.25,
41349.02787015968,10820.72810853238,13173.925560470772,389,,lgbm,True,49868.4926802922,69049.13333865938,holdout_0.25,
41349.02787015968,10948.145697240314,13301.343149178712,389,,sklearn_gbr,True,35745.55365864656,54680.30396689317,holdout_0.25,
