null_deviance,deviance,aic,nobs,error,backend,pipeline_ok
41349.02787015968,10820.72810853238,13173.925560470772,389,,lgbm,True
41349.02787015968,10948.145697240314,13301.343149178712,389,,sklearn_gbr,True
41349.02787015968,10816.325400783267,13169.522852721671,389,,hist_gbrt,True
