block,null_deviance,deviance,nobs
full,41349.02787015968,10820.72810853238,389
no_political,41349.02787015968,10896.95439562212,389
no_housing,41349.02787015968,12248.033666382762,389
no_distance,41349.02787015968,10820.72810853238,389
