Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,029,12,097,FL,Osceola County,57,117,2307,57,117,2307,36029,12097,40473.68421052631
36,029,12,127,FL,Volusia County,55,93,3350,55,93,3350,36029,12127,60909.09090909091
36,029,12,009,FL,Brevard County,48,88,5188,48,88,5188,36029,12009,108083.33333333333
36,029,12,069,FL,Lake County,48,76,4287,48,76,4287,36029,12069,89312.5
36,029,12,021,FL,Collier County,42,81,29816,42,81,29816,36029,12021,709904.7619047619
36,029,12,119,FL,Sumter County,39,53,3228,39,53,3228,36029,12119,82769.23076923077
36,029,12,053,FL,Hernando County,32,55,2078,32,55,2078,36029,12053,64937.5
36,029,12,083,FL,Marion County,32,58,1686,32,58,1686,36029,12083,52687.5
36,029,12,111,FL,St. Lucie County,29,56,3097,29,56,3097,36029,12111,106793.10344827586
36,029,12,015,FL,Charlotte County,27,40,1797,27,40,1797,36029,12015,66555.55555555556
36,029,12,061,FL,Indian River County,23,47,4064,23,47,4064,36029,12061,176695.65217391305
36,029,12,117,FL,Seminole County,21,43,974,21,43,974,36029,12117,46380.95238095238
36,029,12,001,FL,Alachua County,20,28,1008,20,28,1008,36029,12001,50400.0
36,029,12,109,FL,St. Johns County,20,54,3200,20,54,3200,36029,12109,160000.0
36,045,12,105,FL,Polk County,23,57,1226,23,57,1226,36045,12105,53304.34782608696
36,045,12,009,FL,Brevard County,22,50,1280,22,50,1280,36045,12009,58181.818181818184
36,047,12,086,FL,Miami-Dade County,1107,1659,169855,1107,1659,169855,36047,12086,153437.21770551038
36,047,12,011,FL,Broward County,1000,1667,84632,1000,1667,84632,36047,12011,84632.0
36,047,12,099,FL,Palm Beach County,670,1167,83392,670,1167,83392,36047,12099,124465.67164179105
36,047,12,095,FL,Orange County,551,923,30170,551,923,30170,36047,12095,54754.99092558984
36,047,12,057,FL,Hillsborough County,348,576,23939,348,576,23939,36047,12057,68790.22988505747
36,047,12,097,FL,Osceola County,250,440,13432,250,440,13432,36047,12097,53728.0
36,047,12,105,FL,Polk County,211,412,12106,211,412,12106,36047,12105,57374.40758293839
